Document ID,Status,Source Text,Summary,Detected Language,Detected Language Score,Document Sentiment,Document Sentiment +/-,Date
43,PROCESSED,Stock Market Suffered Its Worst Week Since March. Here’s What Hit It.,Stock Market Suffered Its Worst Week Since March... Here’s What Hit It... ,English,0.4204494,-0.49000001,negative,"Oct. 30, 2020 at 10:09 p.m. ET"
44,PROCESSED,The Stock Market Had Its Worst Week in Months. Here’s What Could Happen This Week.,The Stock Market Had Its Worst Week in Months... Here’s What Could Happen This Week... ,English,0.17286892,-0.49000001,negative,"Oct. 31, 2020 at 1:23 p.m. ET"
45,PROCESSED,"5 stocks for the next 10 years — some picks are obvious, others not so much","5 stocks for the next 10 years — some picks are obvious, others not so much... ",English,0.19809385,0,neutral,"Oct. 12, 2020 at 2:53 p.m. ET"
46,PROCESSED,Short-sellers have made a killing on these 5 stocks so far this year,Short-sellers have made a killing on these 5 stocks so far this year... ,English,0.13884424,-0.75,negative,"Oct. 27, 2020 at 10:10 a.m. ET"
47,PROCESSED,"Only one stock has crushed short sellers more than Apple, Amazon and Alibaba over the past 5 years","Only one stock has crushed short sellers more than Apple, Amazon and Alibaba over the past 5 years... ",English,0.23131417,-0.447750032,negative,"Oct. 26, 2020 at 1:10 p.m. ET"
48,PROCESSED,"Apple, Amazon, Facebook and Google all produce record sales amid Big Tech backlash","Apple, Amazon, Facebook and Google all produce record sales amid Big Tech backlash... ",English,0.17278294,0.75,positive,"Oct. 29, 2020 at 9:11 p.m. ET"
49,PROCESSED,These are the worst-performing stocks in October as Big Tech slumps,These are the worst-performing stocks in October as Big Tech slumps... ,English,0.1368927,-0.49000001,negative,"Oct. 30, 2020 at 5:14 p.m. ET"
50,PROCESSED,Dow Records Worst Month Since March,Dow Records Worst Month Since March... ,English,0.99999326,0,neutral,"Oct. 30, 2020 at 5:48 a.m. ET"
51,PROCESSED,Stocks fall as Dow books biggest monthly drop since March as COVID cases rise,Stocks fall as Dow books biggest monthly drop since March as COVID cases rise... ,English,0.1955439,-0.242758006,negative,"Oct. 30, 2020 at 4:07 p.m. ET"
52,PROCESSED,5 Tech Titans Just Posted Earnings. Here Are the Best Nuggets.,5 Tech Titans Just Posted Earnings... Here Are the Best Nuggets... ,English,0.20385148,0.620000005,positive,"Oct. 30, 2020 at 3:49 p.m. ET"
53,PROCESSED,"Apple Inc., Boeing share losses contribute to Dow's 316-point fall","Apple Inc., Boeing share losses contribute to Dow's 316-point fall... ",English,0.15565096,-0.055000007,negative,"Oct. 30, 2020 at 3:44 p.m. ET"
54,PROCESSED,"Jittery Investors Sell Apple Stock, but Bulls Advise Buying Ahead of Supercycle","Jittery Investors Sell Apple Stock, but Bulls Advise Buying Ahead of Supercycle... ",English,0.20861737,-0.300000012,negative,"Oct. 30, 2020 at 12:27 p.m. ET"
55,PROCESSED,Apple Reports Earnings Today. Here’s What to Expect.,Apple Reports Earnings Today... Here’s What to Expect... ,English,0.19144225,0,neutral,"Jan. 28, 2019 at 6:00 a.m. ET"
56,PROCESSED,Apple’s Tim Cook Wants to Focus on ‘the Most Important Things’,Apple’s Tim Cook Wants to Focus on ‘the Most Important Things’... ,English,0.1500082,0.709999979,positive,"Jan. 9, 2019 at 1:56 p.m. ET"
57,PROCESSED,Apple: Who Will Be the Next CEO?,Apple: Who Will Be the Next CEO?... ,English,0.22764412,0,neutral,"Feb. 14, 2018 at 10:20 a.m. ET"
58,PROCESSED,Here’s Why Under Armour Is Selling MyFitnessPal for $130 Million Less Than It Paid,Here’s Why Under Armour Is Selling MyFitnessPal for $130 Million Less Than It Paid... ,English,0.17692012,0.882857144,positive,"Oct. 30, 2020 at 3:19 p.m. ET"
59,PROCESSED,"Dow's 400-point drop led by losses for Apple Inc., Boeing shares","Dow's 400-point drop led by losses for Apple Inc., Boeing shares... ",English,0.15975122,-0.600000024,negative,"Oct. 30, 2020 at 1:49 p.m. ET"
60,PROCESSED,Alphabet Was the Winner in Big Tech’s Earnings Extravaganza. Here’s Why.,Alphabet Was the Winner in Big Tech’s Earnings Extravaganza... Here’s Why... ,English,0.14562008,0.444999993,positive,"Oct. 30, 2020 at 1:27 p.m. ET"
61,PROCESSED,"Dow falls 275 points on losses in Apple Inc., Boeing shares","Dow falls 275 points on losses in Apple Inc., Boeing shares... ",English,0.11200004,-0.600000024,negative,"Oct. 30, 2020 at 12:49 p.m. ET"
62,PROCESSED,"Apple Inc., Boeing share losses lead Dow's 368-point fall","Apple Inc., Boeing share losses lead Dow's 368-point fall... ",English,0.26918,-0.600000024,negative,"Oct. 30, 2020 at 11:49 a.m. ET"
63,PROCESSED,Apple iPhone mystery leaves analysts divided about ‘supercycle’ potential,Apple iPhone mystery leaves analysts divided about ‘supercycle’ potential... ,English,0.7546466,-0.479999989,negative,"Oct. 30, 2020 at 11:33 a.m. ET"
64,PROCESSED,"U.S. Daily Covid-19 Case Count Sets New Record at 90,000","U.S. Daily Covid-19 Case Count Sets New Record at 90,000... ",English,0.2185042,0,neutral,"Oct. 30, 2020 at 9:22 a.m. ET"
65,PROCESSED,"Apple Inc., Boeing share losses contribute to Dow's nearly 450-point drop","Apple Inc., Boeing share losses contribute to Dow's nearly 450-point drop... ",English,0.15507285,-0.055000007,negative,"Oct. 30, 2020 at 10:46 a.m. ET"
66,PROCESSED,Apple stock price target cut to $135 from $140 at BofA Securities,Apple stock price target cut to $135 from $140 at BofA Securities... ,English,0.19038758,0,neutral,"Oct. 30, 2020 at 10:24 a.m. ET"
67,PROCESSED,"Dow's nearly 150-point fall led by losses for Apple Inc., Dow Inc. stocks","Dow's nearly 150-point fall led by losses for Apple Inc., Dow Inc. stocks... ",English,0.1572909,-0.600000024,negative,"Oct. 30, 2020 at 9:45 a.m. ET"
68,PROCESSED,Facebook Beat Earnings Forecasts. Why the Stock Is Dropping.,Facebook Beat Earnings Forecasts... Why the Stock Is Dropping... ,English,0.16535766,0,neutral,"Oct. 29, 2020 at 5:34 p.m. ET"
69,PROCESSED,"Apple Stock Drops, Twitter Plunges and the Dow Is Down","Apple Stock Drops, Twitter Plunges and the Dow Is Down... ",English,0.17002933,0,neutral,"Oct. 30, 2020 at 8:27 a.m. ET"
70,PROCESSED,Apple stock price target raised to $140 from $120 at Raymond James,Apple stock price target raised to $140 from $120 at Raymond James... ,English,0.18650693,0,neutral,"Oct. 30, 2020 at 8:24 a.m. ET"
71,PROCESSED,Why a Stock’s Reaction to Earnings Really Doesn’t Matter,Why a Stock’s Reaction to Earnings Really Doesn’t Matter... ,English,0.106695205,0,neutral,"Oct. 30, 2020 at 7:59 a.m. ET"
72,PROCESSED,Apple's stock drop would shave about 30 points off the Dow's price,Apple's stock drop would shave about 30 points off the Dow's price... ,English,0.2449476,0,neutral,"Oct. 30, 2020 at 7:51 a.m. ET"
73,PROCESSED,Apple Stock Is Falling After Beating Earnings Expectations. Here’s Why.,Apple Stock Is Falling After Beating Earnings Expectations... Here’s Why... ,English,0.21909946,0,neutral,"Oct. 29, 2020 at 5:15 p.m. ET"
74,PROCESSED,"Apple, Amazon, and 3 More Tech Giants Reported Earnings. What You Need to Know.","Apple, Amazon, and 3 More Tech Giants Reported Earnings... What You Need to Know... ",English,0.19030635,0,neutral,"Oct. 29, 2020 at 4:42 p.m. ET"
75,PROCESSED,Alphabet Sales Growth Returns to Pre-Pandemic Level. The Stock Is Soaring.,Alphabet Sales Growth Returns to Pre-Pandemic Level... The Stock Is Soaring... ,English,0.1563237,-0.033333421,neutral,"Oct. 29, 2020 at 4:53 p.m. ET"
76,PROCESSED,Is Amazon Investing Enough in Autonomous Driving?,Is Amazon Investing Enough in Autonomous Driving?... ,English,0.108504206,0,neutral,"Sep. 25, 2018 at 2:30 p.m. ET"
77,PROCESSED,New Google-Powered Smartwatches Set to Launch in 2017,New Google-Powered Smartwatches Set to Launch in 2017... ,English,0.11355484,0.75,positive,"Dec. 22, 2016 at 10:17 p.m. ET"
78,PROCESSED,Apple stock pacing 26 of 30 Dow components losing ground premarket,Apple stock pacing 26 of 30 Dow components losing ground premarket... ,English,0.14230175,-0.699999988,negative,"Oct. 30, 2020 at 6:52 a.m. ET"
79,PROCESSED,Apple's stock falls 4.0% premarket after Q4 results late Thursday,Apple's stock falls 4.0% premarket after Q4 results late Thursday... ,English,0.4450736,0,neutral,"Oct. 30, 2020 at 6:50 a.m. ET"
80,PROCESSED,"Apple to launch its subscription bundle, Apple One, on Friday","Apple to launch its subscription bundle, Apple One, on Friday... ",English,0.17953432,0,neutral,"Oct. 29, 2020 at 8:01 p.m. ET"
81,PROCESSED,Apple’s resurgent Mac sales make up for iPhone shortfall,Apple’s resurgent Mac sales make up for iPhone shortfall... ,English,0.14977582,-0.481666654,negative,"Oct. 29, 2020 at 4:39 p.m. ET"
82,PROCESSED,Apple Inc. stock outperforms competitors on strong trading day,Apple Inc. stock outperforms competitors on strong trading day... ,English,0.27602488,0.660496473,positive,"Oct. 29, 2020 at 4:30 p.m. ET"
83,PROCESSED,Dow ends 140 points higher to claw back a slice of Wednesday's rout on busiest day of earnings season,Dow ends 140 points higher to claw back a slice of Wednesday's rout on busiest day of earnings season... ,English,0.11261752,-0.600000024,negative,"Oct. 29, 2020 at 4:11 p.m. ET"
84,PROCESSED,"Apple Inc., Chevron share gains contribute to Dow's 200-point climb","Apple Inc., Chevron share gains contribute to Dow's 200-point climb... ",English,0.14947666,0.49000001,positive,"Oct. 29, 2020 at 3:56 p.m. ET"
85,PROCESSED,"Apple Inc., Dow Inc. share gains contribute to Dow's nearly 275-point rally","Apple Inc., Dow Inc. share gains contribute to Dow's nearly 275-point rally... ",English,0.1519801,0.545000017,positive,"Oct. 29, 2020 at 2:54 p.m. ET"
86,PROCESSED,"Apple Inc., Dow Inc. share gains contribute to Dow's 200-point jump","Apple Inc., Dow Inc. share gains contribute to Dow's 200-point jump... ",English,0.14957324,0.49000001,positive,"Oct. 29, 2020 at 1:48 p.m. ET"
87,PROCESSED,"Dow up nearly 100 points on gains for Apple Inc., Caterpillar stocks","Dow up nearly 100 points on gains for Apple Inc., Caterpillar stocks... ",English,0.14352065,0,neutral,"Oct. 29, 2020 at 12:47 p.m. ET"
88,PROCESSED,Spotify Posted Solid User Growth. Here’s Why the Stock Is Dropping Anyway.,Spotify Posted Solid User Growth... Here’s Why the Stock Is Dropping Anyway... ,English,0.16936968,0,neutral,"Oct. 29, 2020 at 11:54 a.m. ET"
89,PROCESSED,"Apple Inc., Honeywell International Inc. share gains lead the way, but Dow flat","Apple Inc., Honeywell International Inc. share gains lead the way, but Dow flat... ",English,0.20980456,0,neutral,"Oct. 29, 2020 at 11:47 a.m. ET"
90,PROCESSED,"Dow climbs 160 points on gains in shares of Apple Inc., Visa","Dow climbs 160 points on gains in shares of Apple Inc., Visa... ",English,0.11178933,0,neutral,"Oct. 29, 2020 at 10:46 a.m. ET"
91,PROCESSED,"Apple's stock bounces 1.1% premarket, after dropping 4.6% on Wednesday","Apple's stock bounces 1.1% premarket, after dropping 4.6% on Wednesday... ",English,0.24763508,0,neutral,"Oct. 29, 2020 at 8:47 a.m. ET"
92,PROCESSED,"Apple, Amazon, Facebook, and Alphabet Report Earnings Today. Get Ready for Disappointment?","Apple, Amazon, Facebook, and Alphabet Report Earnings Today... Get Ready for Disappointment?... ",English,0.16381249,0,neutral,"Oct. 29, 2020 at 8:02 a.m. ET"
93,PROCESSED,Here are five stocks to own for the 5G network buildout,Here are five stocks to own for the 5G network buildout... ,English,0.16339938,0,neutral,"Oct. 29, 2020 at 6:52 a.m. ET"
94,PROCESSED,Alphabet Reports Earnings Today. Here’s What to Know.,Alphabet Reports Earnings Today... Here’s What to Know... ,English,0.18124448,0,neutral,"Oct. 28, 2020 at 6:30 a.m. ET"
95,PROCESSED,The best 5G pure-play investment is in cellphone-tower operators,The best 5G pure-play investment is in cellphone-tower operators... ,English,0.130847,0.620000005,positive,"Oct. 29, 2020 at 4:30 a.m. ET"
96,PROCESSED,"Apple iGlass is a Great Name, But It Won’t Help the Stock","Apple iGlass is a Great Name, But It Won’t Help the Stock... ",English,0.14205277,0.600000024,positive,"Nov. 15, 2016 at 12:26 p.m. ET"
97,PROCESSED,The Stock Market Just Got Creamed. Here’s What to Do Now.,The Stock Market Just Got Creamed... Here’s What to Do Now... ,English,0.20149127,0,neutral,"Oct. 28, 2020 at 6:41 p.m. ET"
98,PROCESSED,Here are Wednesday’s biggest losers in the stock market as 97% of S&P 500 companies dropped,Here are Wednesday’s biggest losers in the stock market as 97% of S&P 500 companies dropped... ,English,0.14013332,0,neutral,"Oct. 28, 2020 at 5:34 p.m. ET"
99,PROCESSED,"Apple Inc. stock falls Wednesday, underperforms market","Apple Inc. stock falls Wednesday, underperforms market... ",English,0.60109353,-0.600000024,negative,"Oct. 27, 2020 at 8:26 p.m. ET"
100,PROCESSED,"Visa, Caterpillar share losses lead Dow's 687-point fall","Visa, Caterpillar share losses lead Dow's 687-point fall... ",English,0.242709,-0.600000024,negative,"Oct. 28, 2020 at 11:53 a.m. ET"
101,PROCESSED,"Visa, Microsoft share losses contribute to Dow's nearly 400-point drop","Visa, Microsoft share losses contribute to Dow's nearly 400-point drop... ",English,0.14626409,-0.055000007,negative,"Oct. 28, 2020 at 9:45 a.m. ET"
102,PROCESSED,"All 30 Dow stocks fall, with 29 components down more than 1%","All 30 Dow stocks fall, with 29 components down more than 1%... ",English,0.38810834,0,neutral,"Oct. 28, 2020 at 9:04 a.m. ET"
103,PROCESSED,European Markets Tumble Over Fears of Widespread Lockdowns,European Markets Tumble Over Fears of Widespread Lockdowns... ,English,0.17254269,-0.543900013,negative,"Oct. 28, 2020 at 8:50 a.m. ET"
104,PROCESSED,Jon Stewart returning to TV with new series for Apple: report,Jon Stewart returning to TV with new series for Apple: report... ,English,0.15380524,0,neutral,"Oct. 27, 2020 at 7:22 p.m. ET"
105,PROCESSED,The Dow Took Another Tumble Because the Lockdown Trade Is Back,The Dow Took Another Tumble Because the Lockdown Trade Is Back... ,English,0.17690589,0,neutral,"Oct. 27, 2020 at 6:55 p.m. ET"
106,PROCESSED,Apple has acquired a video-focused AI company: report,Apple has acquired a video-focused AI company: report... ,English,0.110209174,0,neutral,"Oct. 27, 2020 at 4:38 p.m. ET"
107,PROCESSED,Corning Stock Slips Despite Solid Earnings,Corning Stock Slips Despite Solid Earnings... ,English,0.88138366,0.333980501,positive,"Oct. 27, 2020 at 12:09 p.m. ET"
108,PROCESSED,The Dow Got Crushed Because the Market Suddenly Realized There’s an Election Next Week,The Dow Got Crushed Because the Market Suddenly Realized There’s an Election Next Week... ,English,0.18991388,-0.447750032,negative,"Oct. 26, 2020 at 5:47 p.m. ET"
109,PROCESSED,Only One Stock in the Dow Rose on Monday,Only One Stock in the Dow Rose on Monday... ,English,0.13905251,0,neutral,"Oct. 26, 2020 at 11:03 a.m. ET"
110,PROCESSED,Amazon Stock Has Rallied 70% This Year. Why One Analyst Thinks It Could Continue.,Amazon Stock Has Rallied 70% This Year... Why One Analyst Thinks It Could Continue... ,English,0.38288915,0.600000024,positive,"Oct. 26, 2020 at 4:18 p.m. ET"
111,PROCESSED,"All 30 Dow stocks are falling, led by American Express and Boeing","All 30 Dow stocks are falling, led by American Express and Boeing... ",English,0.17095014,0,neutral,"Oct. 26, 2020 at 11:55 a.m. ET"
112,PROCESSED,"The Dow Is Tumbling Because Concerns About Covid-19, the Election, Stimulus, and Earnings Just Spiked","The Dow Is Tumbling Because Concerns About Covid-19, the Election, Stimulus, and Earnings Just Spiked... ",English,0.17658417,0,neutral,"Oct. 26, 2020 at 9:24 a.m. ET"
113,PROCESSED,Dunkin’ Brands May Be Bought Out. Why Covid Has Boosted M&A.,Dunkin’ Brands May Be Bought Out... Why Covid Has Boosted M&A... ,English,0.11124876,0,neutral,"Oct. 26, 2020 at 7:55 a.m. ET"
114,PROCESSED,"Amazon, Apple and Other Tech Companies Report Earnings This Week. What to Expect.","Amazon, Apple and Other Tech Companies Report Earnings This Week... What to Expect... ",English,0.21450889,0,neutral,"Oct. 26, 2020 at 8:15 a.m. ET"
115,PROCESSED,Ready for another Big Tech hearing/earnings doubleheader?,Ready for another Big Tech hearing/earnings doubleheader?... ,English,0.15826844,0,neutral,"Oct. 24, 2020 at 12:32 p.m. ET"
116,PROCESSED,Apple earnings will be missing the usual star attraction,Apple earnings will be missing the usual star attraction... ,English,0.20676921,0.059249997,neutral,"Oct. 23, 2020 at 4:26 p.m. ET"
117,PROCESSED,Self-Driving Cars Are the Next Battle In the EV Wars,Self-Driving Cars Are the Next Battle In the EV Wars... ,English,0.1447932,0,neutral,"Oct. 24, 2020 at 12:03 p.m. ET"
118,PROCESSED,Stock-market investors brace for busiest week of earnings in October’s final hurrah,Stock-market investors brace for busiest week of earnings in October’s final hurrah... ,English,0.11727845,0.449999988,positive,"Oct. 24, 2020 at 8:00 a.m. ET"
119,PROCESSED,"If you missed out on the early days of Apple and Google, billionaire Paul Tudor Jones has the investment for you","If you missed out on the early days of Apple and Google, billionaire Paul Tudor Jones has the investment for you... ",English,0.16844943,-0.439999998,negative,"Oct. 22, 2020 at 10:40 a.m. ET"
120,PROCESSED,"IBM’s Retirement Fund Bought IBM, Apple, and Microsoft Stock. Here’s What It Sold.","IBM’s Retirement Fund Bought IBM, Apple, and Microsoft Stock... Here’s What It Sold... ",English,0.20792043,0,neutral,"Oct. 24, 2020 at 7:00 a.m. ET"
121,PROCESSED,"Dow flat in spite of losses for Intel, American Express stocks","Dow flat in spite of losses for Intel, American Express stocks... ",English,0.11052535,-0.601144731,negative,"Oct. 23, 2020 at 3:13 p.m. ET"
122,PROCESSED,"Intel, American Express share losses contribute to Dow's nearly 75-point fall","Intel, American Express share losses contribute to Dow's nearly 75-point fall... ",English,0.15310603,-0.055000007,negative,"Oct. 23, 2020 at 11:23 a.m. ET"
123,PROCESSED,The Government Is Coming for Google and Other Big Tech Companies. What to Do With the Stocks.,The Government Is Coming for Google and Other Big Tech Companies... What to Do With the Stocks... ,English,0.17592752,0,neutral,"Oct. 23, 2020 at 6:30 a.m. ET"
124,PROCESSED,3 Things to Know About the Stock Market’s Thursday Rally,3 Things to Know About the Stock Market’s Thursday Rally... ,English,0.18528709,0,neutral,"Oct. 22, 2020 at 6:58 p.m. ET"
